flag_country,unique_imo_per_flag_country_count
Adelie Land,1
Afghanistan,0
Alaska,116
Albania,44
Algeria,92
American Samoa,0
Andorra,5
Angola,37
Anguilla,7
Antigua and Barbuda,694
Argentina,522
Armenia,3
Aruba,1
Ascension Island,4
Australia,412
Austria,8
Azerbaijan,229
Azores,274
Bahamas,1231
Bahrain,134
Bangladesh,126
Barbados,316
Belarus,2
Belgium,398
Belize,601
Benin,1
Bermuda,175
Bhutan,10
Bolivia,30
Bosnia and Herzegovina,0
Botswana,0
Brazil,556
British Virgin Islands,55
Brunei,42
Bulgaria,40
Burkina Faso,0
Burundi,1
Cambodia,11
Cameroon,271
Canada,666
Cape Verde,22
Cayman Islands,1025
Central African Republic,3
Chad,1
Chile,317
China,7529
Christmas Island,0
Cocos Islands,2
Colombia,99
Comoros,294
Congo,11
Cook Islands,229
Costa Rica,7
Croatia,223
Crozet Archipelago,1
Cuba,37
Cyprus,1157
Czech Republic,9
Denmark,933
Djibouti,29
Dominica,58
Dominican Republic,21
Ecuador,194
Egypt,173
El Salvador,11
Equatorial Guinea,39
Eritrea,2
Estonia,102
Ethiopia,12
Falkland Islands,22
Faroe Islands,177
Fiji,33
Finland,258
France,720
French Guiana,8
Gabon,84
Gambia,11
Georgia,43
Germany,783
Ghana,42
Gibraltar,171
Greece,1394
Greenland,56
Grenada,4
Guadeloupe,8
Guatemala,9
Guinea,8
Guinea-Bissau,35
Guyana,70
Haiti,3
Honduras,31
Hong Kong,2726
Hungary,2
Iceland,202
India,1099
Indonesia,3658
Iran,889
Iraq,28
Ireland,144
Israel,32
Italy,1271
Ivory Coast,4
Jamaica,116
Japan,2541
Jordan,30
Kazakhstan,91
Kenya,12
Kerguelen Islands,21
Kiribati,52
Kuwait,121
Kyrgyzstan,3
Laos,1
Latvia,97
Lebanon,32
Lesotho,1
Liberia,5629
Libya,35
Liechtenstein,3
Lithuania,69
Luxembourg,196
Macao,0
Macedonia,7
Madagascar,6
Madeira,898
Malawi,1
Malaysia,1014
Maldives,10
Mali,0
Malta,2727
Marshall Islands,5116
Martinique,3
Mauritania,21
Mauritius,39
Mexico,524
Micronesia,38
Moldova,100
Monaco,9
Mongolia,262
Montenegro,20
Montserrat,1
Morocco,125
Mozambique,15
Myanmar,33
Namibia,72
Nauru,24
Nepal,0
Netherlands,2214
Netherlands Antilles,55
New Caledonia,24
New Zealand,85
Nicaragua,6
Niger,3
Nigeria,625
Niue,61
North Korea,131
Northern Mariana,5
Norway,2303
Oman,45
Pakistan,43
Palau,478
Palestine,0
Panama,8293
Papua New Guinea,93
Paraguay,64
Peru,164
Philippines,620
Pitcairn Island,11
Poland,143
Portugal,111
Puerto Rico,0
Qatar,129
Reunion,23
Romania,96
Russian Federation,3430
Rwanda,1
Saint Helena,6
Saint Kitts and Nevis,346
Saint Lucia,3
Saint Paul and Amsterdam Islands,2
Saint Pierre and Miquelon,5
Saint Vincent and the Grenadines,791
Samoa,17
San Marino,5
Sao Tome and Principe,25
Saudi Arabia,333
Senegal,36
Serbia,3
Seychelles,47
Sierra Leone,469
Singapore,3349
Slovakia,13
Slovenia,6
Solomon Islands,10
Somalia,35
South Africa,72
South Korea,1646
South Sudan,1
Spain,960
Sri Lanka,138
Sudan,2
Suriname,3
Swaziland,0
Sweden,341
Switzerland,69
Syria,6
Tahiti,18
Taiwan,476
Tajikistan,1
Tanzania,329
Thailand,495
Togo,338
Tonga,8
Trinidad and Tobago,50
Tunisia,49
Turkey,781
Turkmenistan,53
Turks and Caicos Islands,0
Tuvalu,255
Uganda,1
UK,1816
Ukraine,104
United Arab Emirates,636
Uruguay,63
US Virgin Islands,1
USA,4423
Uzbekistan,3
Vanuatu,418
Vatican City,5
Venezuela,117
Vietnam,1263
Wallis and Futuna Islands,17
Yemen,7
Zambia,2
Zimbabwe,0
