flag_country,unique_mmsi,unique_imo
Alaska,5,6
Algeria,1,1
Angola,4,4
Antigua and Barbuda,160,167
Australia,63,64
Azerbaijan,1,1
Azores,74,75
Bahamas,503,520
Bahrain,2,2
Bangladesh,83,82
Barbados,49,49
Belgium,41,41
Belize,106,121
Bermuda,64,67
Bolivia,3,3
Brazil,13,13
British Virgin Islands,3,4
Brunei,9,9
Cambodia,4,4
Cameroon,39,39
Canada,2,2
Cayman Islands,117,128
China,926,934
Comoros,25,26
Cook Islands,59,60
Croatia,9,9
Cuba,1,1
Cyprus,354,366
Denmark,213,222
Djibouti,13,14
Dominica,5,5
Egypt,4,4
Equatorial Guinea,8,7
Ethiopia,8,8
Fiji,4,4
Finland,5,5
France,46,48
Gabon,31,30
Germany,32,36
Ghana,1,1
Gibraltar,16,16
Greece,339,347
Guyana,8,8
Honduras,3,3
Hong Kong,1863,1888
India,99,104
Indonesia,6357,6337
Iran,81,81
Iraq,1,1
Ireland,2,2
Israel,1,2
Italy,68,77
Jamaica,4,5
Japan,350,358
Jordan,1,1
Kenya,1,1
Kerguelen Islands,3,6
Kiribati,26,26
Kuwait,23,25
Lebanon,1,1
Lesotho,1,1
Liberia,3219,3262
Libya,7,7
Lithuania,1,1
Luxembourg,28,30
Madeira,228,243
Malaysia,661,662
Maldives,1,1
Malta,862,886
Marshall Islands,2880,2934
Mauritania,1,1
Mauritius,7,7
Mexico,1,1
Micronesia,5,5
Moldova,1,1
Mongolia,108,109
Montenegro,3,3
Morocco,1,1
Myanmar,4,4
Nauru,11,11
Netherlands,101,107
Netherlands Antilles,12,13
New Zealand,1,1
Niue,32,33
Northern Mariana,1,1
Norway,264,278
Pakistan,6,6
Palau,73,76
Panama,4366,4447
Papua New Guinea,35,35
Philippines,117,118
Pitcairn Island,1,2
Qatar,7,7
Russian Federation,61,69
Saint Kitts and Nevis,50,52
Saint Vincent and the Grenadines,50,53
Samoa,7,7
Sao Tome and Principe,6,7
Saudi Arabia,90,91
Seychelles,16,16
Sierra Leone,87,90
Singapore,2413,2449
Solomon Islands,1,1
Somalia,2,8
South Africa,3,4
South Korea,330,357
Spain,12,12
Sri Lanka,7,7
Sweden,15,15
Switzerland,10,10
Syria,1,1
Taiwan,292,298
Tanzania,48,50
Thailand,145,149
Togo,20,20
Tonga,1,1
Turkey,38,39
Tuvalu,96,96
UK,237,245
United Arab Emirates,7,9
USA,55,58
Vanuatu,35,36
Vietnam,397,405
Wallis and Futuna Islands,2,2
