flag_country,count
Sweden                          ,1879939
Kiribati                        ,804788
Guyana                          ,88167
Philippines                     ,7624661
Eritrea                         ,9650
Djibouti                        ,427976
Singapore                       ,175202393
Malaysia                        ,31869594
Fiji                            ,58597
Turkey                          ,1938494
Germany                         ,2599150
Comoros                         ,359528
Cambodia                        ,16829
Maldives                        ,89640
Jordan                          ,69884
Yemen                           ,3654
Iraq                            ,3574
Crozet Archipelago              ,1237
Malawi                          ,29
Tonga                           ,5
Chad                            ,3
Palau                           ,1574057
France                          ,4362584
Greece                          ,23647641
Sri Lanka                       ,522981
Taiwan                          ,15705440
Dominica                        ,160964
British Virgin Islands          ,312924
Equatorial Guinea               ,104624
Togo                            ,711616
Algeria                         ,22447
Belgium                         ,3763784
Angola                          ,334783
Qatar                           ,392311
Pitcairn Island                 ,28254
Kerguelen Islands               ,3824
Lesotho                         ,9506
Reunion                         ,146
Adelie Land                     ,175
Ecuador                         ,594
San Marino                      ,150
null                            ,135112
Argentina                       ,16
Albania                         ,51974
Finland                         ,340860
New Caledonia                   ,21006
Myanmar                         ,84012
Sierra Leone                    ,2603262
China                           ,63157259
Bahamas                         ,46176059
India                           ,4385641
Malta                           ,68630021
Kuwait                          ,871479
Sao Tome and Principe           ,35605
Marshall Islands                ,222918497
Somalia                         ,210725
Tuvalu                          ,3227738
Cayman Islands                  ,9889249
Ghana                           ,13178
Cocos Islands                   ,1123
Nicaragua                       ,890
Puerto Rico                     ,4
Chile                           ,1
Croatia                         ,472280
Wallis and Futuna Islands       ,287687
Bolivia                         ,58373
Andorra                         ,7349
Gabon                           ,744700
Italy                           ,4408187
Netherlands Antilles            ,1116101
Lithuania                       ,145453
Norway                          ,23549428
Spain                           ,1148772
Cuba                            ,43392
Tahiti                          ,9804
Denmark                         ,15824060
Bangladesh                      ,3216219
Barbados                        ,3874839
Mauritania                      ,49
Nigeria                         ,1
Central African Republic        ,1
Iran                            ,1649762
Russian Federation              ,4002794
Ireland                         ,45204
Liechtenstein                   ,22491
Thailand                        ,6594199
Panama                          ,288629405
Hong Kong                       ,142939452
Nauru                           ,493058
Israel                          ,104212
Saint Kitts and Nevis           ,725837
USA                             ,6037504
Alaska                          ,538399
Cape Verde                      ,1965
Bhutan                          ,227
Morocco                         ,10460
Laos                            ,53
Christmas Island                ,1
Monaco                          ,9
South Korea                     ,15798704
Cyprus                          ,27917111
Gibraltar                       ,1296508
Estonia                         ,40876
Georgia                         ,240
Montenegro                      ,393452
Indonesia                       ,143021592
Saint Vincent and the Grenadines,3000026
Mongolia                        ,2154126
Libya                           ,384221
Liberia                         ,223190496
Honduras                        ,90349
UK                              ,19597363
Syria                           ,20809
Azerbaijan                      ,34837
Mexico                          ,1436
Grenada                         ,36
Saudi Arabia                    ,4754479
Switzerland                     ,1033688
Ethiopia                        ,580415
Jamaica                         ,456680
United Arab Emirates            ,262691
Brunei                          ,273527
Azores                          ,6407071
Canada                          ,167794
Seychelles                      ,357080
Samoa                           ,179484
Cook Islands                    ,2476790
Belize                          ,3213251
Brazil                          ,1234250
Czech Republic                  ,534
South Sudan                     ,178
Guinea                          ,120
Faroe Islands                   ,18
Namibia                         ,1
Kenya                           ,115973
Antigua and Barbuda             ,12703176
Japan                           ,29831568
Tanzania                        ,905216
Luxembourg                      ,1931921
New Zealand                     ,91870
Poland                          ,46803
Australia                       ,5170171
Cameroon                        ,1211237
Papua New Guinea                ,2166211
Solomon Islands                 ,107767
Austria                         ,8654
Egypt                           ,193102
South Africa                    ,332431
Bermuda                         ,7275322
Bahrain                         ,54880
Micronesia                      ,441913
Pakistan                        ,438729
Vanuatu                         ,2570491
Northern Mariana                ,16706
Niue                            ,913033
Madeira                         ,18753094
Mauritius                       ,326858
Moldova                         ,16686
Vietnam                         ,12287145
Netherlands                     ,9096927
Lebanon                         ,14273
Greenland                       ,4518
Dominican Republic              ,79
Burkina Faso                    ,628
Bulgaria                        ,963
Kazakhstan                      ,156
Botswana                        ,1
Costa Rica                      ,2
